S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu474	2	54	0	5	8	0	0	0	0	0	6	0	0
otu475	0	0	6	55	0	0	0	0	0	0	9	2	0
otu476	0	0	0	0	2	0	0	75	16	0	0	0	0
otu477	4	0	12	2	32	9	0	0	2	0	0	8	0
otu478	6	0	1	0	2	0	6	54	17	0	0	1	1
otu479	0	0	0	61	0	0	0	0	0	0	0	0	0
otu480	6	0	0	0	1	53	0	0	0	0	0	0	0
otu482	0	39	0	8	0	0	0	0	0	6	0	0	0
otu483	28	13	1	0	0	17	0	0	0	0	0	0	0
otu489	0	64	0	0	0	0	0	0	0	0	0	0	0
otu490	0	57	4	0	0	0	0	0	0	0	0	0	0
otu491	0	0	0	0	0	0	0	30	39	0	0	1	0
otu492	0	0	0	0	1	0	8	61	2	0	0	0	0
otu494	11	14	2	37	8	1	0	0	0	0	3	1	0
otu495	0	0	0	67	0	0	0	0	0	0	2	0	0
otu496	0	1	0	58	2	2	0	0	0	0	0	0	0
otu497	1	3	34	0	23	6	0	0	0	0	0	0	0
otu498	2	0	0	14	5	1	6	2	11	0	44	7	1
otu499	4	2	0	9	39	2	0	0	0	0	5	1	0
otu500	0	0	0	69	0	7	0	1	0	0	11	0	0
otu501	0	0	0	0	0	0	38	36	0	0	0	0	0
otu502	0	0	0	0	0	0	0	0	0	1	54	0	0
otu503	11	48	0	0	0	2	0	0	0	0	2	0	0
otu505	20	1	1	0	0	0	1	1	0	1	39	0	0
otu507	5	0	0	6	21	12	0	0	21	0	0	2	0
otu508	0	64	0	0	0	0	0	0	0	0	0	0	0
otu511	8	0	0	1	50	4	0	3	3	0	0	3	0
otu512	0	0	0	0	0	0	0	0	0	0	0	0	54
otu513	0	0	2	60	0	0	0	1	0	0	0	1	0
otu514	0	58	0	0	0	0	0	0	0	0	0	0	0
otu515	0	0	0	27	0	0	0	0	0	6	24	0	1
otu516	0	0	0	0	0	0	0	63	0	0	0	0	0
otu517	0	0	0	0	0	0	0	0	56	0	0	0	0
otu518	0	2	0	0	0	50	0	0	0	0	0	0	0
otu519	0	0	0	0	0	0	0	52	2	0	0	0	0
otu520	8	0	0	43	3	1	0	0	0	0	1	4	0
otu521	0	0	0	58	0	0	0	0	0	0	2	0	0
otu522	0	0	0	0	0	0	1	67	0	0	0	0	0
otu524	1	21	8	22	3	0	0	0	0	0	1	3	0
otu527	0	52	0	0	0	0	0	0	0	0	0	0	0
otu530	0	32	0	0	0	0	0	0	0	30	0	0	0
otu531	7	0	0	8	38	0	0	0	7	0	2	0	0
otu534	11	0	0	37	18	7	0	0	0	0	6	0	0
otu537	0	0	0	0	0	3	0	28	0	0	0	32	0
otu539	0	0	0	0	45	6	0	1	2	0	0	0	0
otu540	0	0	0	39	0	0	0	0	0	1	11	0	3
otu542	6	5	0	40	9	0	0	0	0	0	0	0	0
otu543	0	0	0	0	0	0	0	71	0	0	0	0	0
otu545	0	0	0	53	0	0	0	0	2	0	1	0	0
otu546	7	2	0	6	29	22	0	0	0	0	1	3	0
