Longitude	Depth	Chla
600	-40.2502	200	0.03
601	-39.5002	5	0.03
602	-39.5002	10	0.03
603	-39.5002	15	0.03
604	-39.5002	20	0.03
605	-39.5002	25	0.03
606	-39.5002	30	0.03
607	-39.5002	35	0.03
608	-39.5002	40	0.03
609	-39.5002	45	0.03
610	-39.5002	50	0.04
611	-39.5002	55	0.04
612	-39.5002	60	0.04
613	-39.5002	65	0.04
614	-39.5002	70	0.06
615	-39.5002	75	0.07
616	-39.5002	80	0.07
617	-39.5002	85	0.09
618	-39.5002	90	0.15
619	-39.5002	95	0.18
620	-39.5002	100	0.18
621	-39.5002	105	0.16
622	-39.5002	110	0.12
623	-39.5002	115	0.1
624	-39.5002	120	0.08
625	-39.5002	125	0.08
626	-39.5002	130	0.07
627	-39.5002	135	0.06
628	-39.5002	140	0.06
629	-39.5002	145	0.06
630	-39.5002	150	0.05
631	-39.5002	155	0.05
632	-39.5002	160	0.05
633	-39.5002	165	0.04
634	-39.5002	170	0.04
635	-39.5002	175	0.04
636	-39.5002	180	0.04
637	-39.5002	185	0.04
638	-39.5002	190	0.03
639	-39.5002	195	0.03
640	-39.5002	200	0.03
641	-35.7502	5	0
642	-35.7502	10	0
643	-35.7502	15	0
644	-35.7502	20	0
645	-35.7502	25	0
646	-35.7502	30	0
647	-35.7502	35	0
648	-35.7502	40	0
649	-35.7502	45	0
650	-35.7502	50	0
651	-35.7502	55	0
652	-35.7502	60	0
653	-35.7502	65	0
654	-35.7502	70	0
655	-35.7502	75	0
656	-35.7502	80	0
657	-35.7502	85	0
658	-35.7502	90	0
659	-35.7502	95	0
660	-35.7502	100	0
661	-35.7502	105	0
662	-35.7502	110	0
663	-35.7502	115	0
664	-35.7502	120	0
665	-35.7502	125	0
666	-35.7502	130	0
667	-35.7502	135	0
668	-35.7502	140	0
669	-35.7502	145	0
670	-35.7502	150	0
671	-35.7502	155	0
672	-35.7502	160	0
673	-35.7502	165	0
674	-35.7502	170	0
675	-35.7502	175	0
676	-35.7502	180	0
677	-35.7502	185	0
678	-35.7502	190	0
679	-35.7502	195	0
680	-35.7502	200	0
681	-35.0003	5	0.03
682	-35.0003	10	0.03
683	-35.0003	15	0.03
684	-35.0003	20	0.03
685	-35.0003	25	0.03
686	-35.0003	30	0.03
687	-35.0003	35	0.03
688	-35.0003	40	0.03
689	-35.0003	45	0.03
690	-35.0003	50	0.04
691	-35.0003	55	0.04
692	-35.0003	60	0.05
693	-35.0003	65	0.05
694	-35.0003	70	0.05
695	-35.0003	75	0.05
696	-35.0003	80	0.06
697	-35.0003	85	0.06
698	-35.0003	90	0.08
699	-35.0003	95	0.16
700	-35.0003	100	0.17
701	-35.0003	105	0.14
702	-35.0003	110	0.12
703	-35.0003	115	0.11
704	-35.0003	120	0.09
705	-35.0003	125	0.08
706	-35.0003	130	0.07
707	-35.0003	135	0.07
708	-35.0003	140	0.06
709	-35.0003	145	0.06
710	-35.0003	150	0.05
711	-35.0003	155	0.05
712	-35.0003	160	0.05
713	-35.0003	165	0.05
714	-35.0003	170	0.05
715	-35.0003	175	0.04
716	-35.0003	180	0.04
717	-35.0003	185	0.04
718	-35.0003	190	0.04
719	-35.0003	195	0.04
720	-35.0003	200	0.03
721	-32.751	5	0.03
722	-32.751	10	0.03
723	-32.751	15	0.03
724	-32.751	20	0.03
725	-32.751	25	0.03
726	-32.751	30	0.03
727	-32.751	35	0.03
728	-32.751	40	0.03
729	-32.751	45	0.03
730	-32.751	50	0.04
731	-32.751	55	0.04
732	-32.751	60	0.04
733	-32.751	65	0.05
734	-32.751	70	0.06
735	-32.751	75	0.07
736	-32.751	80	0.09
737	-32.751	85	0.09
738	-32.751	90	0.16
739	-32.751	95	0.17
740	-32.751	100	0.14
741	-32.751	105	0.12
742	-32.751	110	0.11
743	-32.751	115	0.11
744	-32.751	120	0.1
745	-32.751	125	0.09
746	-32.751	130	0.09
747	-32.751	135	0.08
748	-32.751	140	0.07
749	-32.751	145	0.06
750	-32.751	150	0.05
751	-32.751	155	0.04
752	-32.751	160	0.04
753	-32.751	165	0.04
754	-32.751	170	0.04
755	-32.751	175	0.04
756	-32.751	180	0.04
757	-32.751	185	0.03
758	-32.751	190	0.03
759	-32.751	195	0.03
760	-32.751	200	0.03
761	-32.0002	5	0.03
762	-32.0002	10	0.03
763	-32.0002	15	0.03
764	-32.0002	20	0.03
765	-32.0002	25	0.03
766	-32.0002	30	0.03
767	-32.0002	35	0.03
768	-32.0002	40	0.03
769	-32.0002	45	0.03
770	-32.0002	50	0.03
771	-32.0002	55	0.03
772	-32.0002	60	0.04
773	-32.0002	65	0.04
774	-32.0002	70	0.04
775	-32.0002	75	0.04
776	-32.0002	80	0.05
777	-32.0002	85	0.07
778	-32.0002	90	0.14
779	-32.0002	95	0.2
780	-32.0002	100	0.17
781	-32.0002	105	0.13
782	-32.0002	110	0.1
783	-32.0002	115	0.08
784	-32.0002	120	0.07
785	-32.0002	125	0.07
786	-32.0002	130	0.06
787	-32.0002	135	0.06
788	-32.0002	140	0.05
789	-32.0002	145	0.05
790	-32.0002	150	0.04
791	-32.0002	155	0.04
792	-32.0002	160	0.03
793	-32.0002	165	0.03
794	-32.0002	170	0.03
795	-32.0002	175	0.03
796	-32.0002	180	0.03
797	-32.0002	185	0.03
798	-32.0002	190	0.03
799	-32.0002	195	0.03
800	-32.0002	200	0.03
801	-31.2505	5	0.03
802	-31.2505	10	0.03
803	-31.2505	15	0.03
804	-31.2505	20	0.03
805	-31.2505	25	0.03
806	-31.2505	30	0.03
807	-31.2505	35	0.03
808	-31.2505	40	0.03
809	-31.2505	45	0.04
810	-31.2505	50	0.04
811	-31.2505	55	0.04
812	-31.2505	60	0.04
813	-31.2505	65	0.04
814	-31.2505	70	0.04
815	-31.2505	75	0.04
816	-31.2505	80	0.05
817	-31.2505	85	0.07
818	-31.2505	90	0.09
819	-31.2505	95	0.18
820	-31.2505	100	0.2
821	-31.2505	105	0.16
822	-31.2505	110	0.13
823	-31.2505	115	0.11
824	-31.2505	120	0.09
825	-31.2505	125	0.08
826	-31.2505	130	0.07
827	-31.2505	135	0.06
828	-31.2505	140	0.06
829	-31.2505	145	0.05
830	-31.2505	150	0.04
831	-31.2505	155	0.04
832	-31.2505	160	0.04
833	-31.2505	165	0.04
834	-31.2505	170	0.03
835	-31.2505	175	0.03
836	-31.2505	180	0.03
837	-31.2505	185	0.03
838	-31.2505	190	0.03
839	-31.2505	195	0.03
840	-31.2505	200	0.03
841	-30.5015	5	0.03
842	-30.5015	10	0.03
843	-30.5015	15	0.03
844	-30.5015	20	0.03
845	-30.5015	25	0.03
846	-30.5015	30	0.03
847	-30.5015	35	0.04
848	-30.5015	40	0.04
849	-30.5015	45	0.04
850	-30.5015	50	0.04
851	-30.5015	55	0.04
852	-30.5015	60	0.04
853	-30.5015	65	0.05
854	-30.5015	70	0.06
855	-30.5015	75	0.07
856	-30.5015	80	0.16
857	-30.5015	85	0.18
858	-30.5015	90	0.18
859	-30.5015	95	0.16
860	-30.5015	100	0.14
861	-30.5015	105	0.1
862	-30.5015	110	0.09
863	-30.5015	115	0.08
864	-30.5015	120	0.07
865	-30.5015	125	0.06
866	-30.5015	130	0.05
867	-30.5015	135	0.05
868	-30.5015	140	0.05
869	-30.5015	145	0.04
870	-30.5015	150	0.04
871	-30.5015	155	0.04
872	-30.5015	160	0.03
873	-30.5015	165	0.03
874	-30.5015	170	0.03
875	-30.5015	175	0.03
876	-30.5015	180	0.03
877	-30.5015	185	0.03
878	-30.5015	190	0.03
879	-30.5015	195	0.03
880	-30.5015	200	0.03
881	-29.0003	5	0.03
882	-29.0003	10	0.03
883	-29.0003	15	0.03
884	-29.0003	20	0.03
885	-29.0003	25	0.03
886	-29.0003	30	0.03
887	-29.0003	35	0.04
888	-29.0003	40	0.04
889	-29.0003	45	0.05
890	-29.0003	50	0.05
891	-29.0003	55	0.05
892	-29.0003	60	0.06
893	-29.0003	65	0.08
894	-29.0003	70	0.15
895	-29.0003	75	0.22
896	-29.0003	80	0.2
897	-29.0003	85	0.17
898	-29.0003	90	0.13
899	-29.0003	95	0.11
900	-29.0003	100	0.09
901	-29.0003	105	0.08
902	-29.0003	110	0.07
903	-29.0003	115	0.07
904	-29.0003	120	0.06
905	-29.0003	125	0.06
906	-29.0003	130	0.05
907	-29.0003	135	0.05
908	-29.0003	140	0.04
909	-29.0003	145	0.04
910	-29.0003	150	0.04
911	-29.0003	155	0.03
912	-29.0003	160	0.03
913	-29.0003	165	0.03
914	-29.0003	170	0.03
915	-29.0003	175	0.03
916	-29.0003	180	0.03
917	-29.0003	185	0.03
918	-29.0003	190	0.03
919	-29.0003	195	0.03
920	-29.0003	200	0.03
921	-28.2505	5	0.04
922	-28.2505	10	0.04
923	-28.2505	15	0.04
924	-28.2505	20	0.04
925	-28.2505	25	0.04
926	-28.2505	30	0.04
927	-28.2505	35	0.04
928	-28.2505	40	0.04
929	-28.2505	45	0.04
930	-28.2505	50	0.05
931	-28.2505	55	0.06
932	-28.2505	60	0.06
933	-28.2505	65	0.06
934	-28.2505	70	0.06
935	-28.2505	75	0.08
936	-28.2505	80	0.12
937	-28.2505	85	0.26
938	-28.2505	90	0.2
939	-28.2505	95	0.16
940	-28.2505	100	0.13
941	-28.2505	105	0.11
942	-28.2505	110	0.1
943	-28.2505	115	0.09
944	-28.2505	120	0.08
945	-28.2505	125	0.07
946	-28.2505	130	0.07
947	-28.2505	135	0.06
948	-28.2505	140	0.05
949	-28.2505	145	0.05
950	-28.2505	150	0.04
951	-28.2505	155	0.04
952	-28.2505	160	0.04
953	-28.2505	165	0.04
954	-28.2505	170	0.04
955	-28.2505	175	0.04
956	-28.2505	180	0.03
957	-28.2505	185	0.03
958	-28.2505	190	0.03
959	-28.2505	195	0.03
960	-28.2505	200	0.03
961	-26.7503	5	0.03
962	-26.7503	10	0.03
963	-26.7503	15	0.03
964	-26.7503	20	0.04
965	-26.7503	25	0.04
966	-26.7503	30	0.04
967	-26.7503	35	0.04
968	-26.7503	40	0.05
969	-26.7503	45	0.07
970	-26.7503	50	0.08
971	-26.7503	55	0.08
972	-26.7503	60	0.1
973	-26.7503	65	0.14
974	-26.7503	70	0.3
975	-26.7503	75	0.25
976	-26.7503	80	0.19
977	-26.7503	85	0.14
978	-26.7503	90	0.12
979	-26.7503	95	0.1
980	-26.7503	100	0.08
981	-26.7503	105	0.07
982	-26.7503	110	0.06
983	-26.7503	115	0.06
984	-26.7503	120	0.05
985	-26.7503	125	0.05
986	-26.7503	130	0.05
987	-26.7503	135	0.04
988	-26.7503	140	0.04
989	-26.7503	145	0.04
990	-26.7503	150	0.04
991	-26.7503	155	0.03
992	-26.7503	160	0.03
993	-26.7503	165	0.03
994	-26.7503	170	0.03
995	-26.7503	175	0.03
996	-26.7503	180	0.03
997	-26.7503	185	0.03
998	-26.7503	190	0.03
999	-26.7503	195	0.03
1000	-26.7503	200	0.03
1001	-26.0007	5	0.03
